Winner/Tie,PtsW,Home,Loser/Tie,PtsL
61,38,1,1,37
3,41,1,67,0
10,45,1,197,14
31,20,1,33,16
86,17,1,194,10
99,42,1,46,20
100,35,0,20,13
114,28,1,25,10
125,55,1,140,3
145,41,0,196,38
150,42,1,120,10
170,37,2,188,7
174,52,2,153,28
184,38,1,183,31
186,56,1,69,14
9,58,1,111,13
23,35,2,40,10
39,31,0,38,17
97,45,1,75,7
169,27,1,189,26
179,27,2,66,7
201,59,1,22,31
2,44,1,115,16
4,33,0,198,23
6,48,1,182,10
12,37,1,105,10
15,45,1,11,21
17,30,1,37,10
19,14,2,54,12
21,30,0,91,7
24,38,1,44,28
26,31,2,127,24
43,52,1,50,13
45,52,1,118,7
48,31,1,106,28
55,37,0,133,31
59,45,1,36,21
62,38,1,205,19
70,28,1,208,17
71,28,1,72,10
73,31,1,126,23
78,55,1,167,16
80,59,1,172,14
83,28,0,204,24
85,45,1,160,6
89,42,2,95,27
90,52,1,76,7
93,63,1,16,0
96,52,1,8,14
98,61,1,151,7
101,49,1,164,0
102,38,1,156,18
109,55,1,53,7
110,28,1,165,19
117,56,1,82,29
119,24,1,60,23
121,34,2,74,14
129,48,1,143,17
130,17,2,79,14
131,34,0,108,17
132,48,1,84,16
134,41,1,64,28
135,62,1,155,13
136,29,1,139,14
137,26,0,30,24
138,62,1,41,0
141,43,1,202,34
149,38,1,123,7
157,36,1,199,31
161,52,1,56,13
166,45,1,27,0
173,38,1,122,7
175,48,1,148,14
176,65,1,13,0
177,42,1,29,35
178,31,2,113,24
180,54,1,112,20
185,28,2,190,20
192,34,1,203,9
195,17,2,65,16
206,17,1,104,12
18,45,1,163,0
171,38,1,187,7
87,31,1,94,13
9,26,2,179,23
110,24,1,196,13
138,30,2,21,20
4,41,1,53,0
8,66,1,28,0
10,58,2,113,23
11,73,1,115,7
14,47,1,24,39
15,59,1,150,13
18,70,1,128,6
20,37,1,39,24
22,48,1,191,7
23,41,2,173,7
26,55,1,146,14
31,38,2,141,17
36,73,1,154,7
38,41,0,91,38
40,19,1,168,16
43,34,2,182,17
47,17,2,95,10
51,65,1,48,0
54,34,1,193,3
55,37,1,35,12
60,83,1,151,9
62,38,2,183,21
66,47,1,63,0
70,42,1,201,34
73,17,1,17,13
77,34,1,158,28
78,32,2,74,28
80,20,1,130,3
83,56,1,147,0
84,48,2,85,20
86,38,1,68,31
87,66,1,107,21
89,48,1,142,7
90,24,2,157,17
94,41,1,52,7
99,35,1,98,24
100,41,0,188,3
101,47,1,6,34
102,49,2,180,24
108,31,2,170,24
109,31,1,92,24
111,13,1,124,12
114,34,2,61,31
117,31,1,149,27
119,46,1,134,34
122,43,1,163,6
125,23,2,127,15
129,31,1,96,0
132,52,2,184,7
133,40,1,103,23
135,46,1,97,27
136,38,2,65,30
137,21,1,3,3
145,38,1,67,25
152,23,2,79,13
153,33,1,45,23
161,13,2,166,10
164,26,1,7,20
171,34,1,12,19
174,73,1,81,3
177,30,2,178,26
185,42,1,93,35
186,59,1,56,27
187,40,1,69,20
190,45,1,144,13
192,35,2,131,21
194,23,1,58,7
195,59,1,49,52
198,54,1,181,0
204,37,1,200,3
206,17,1,2,13
23,33,1,66,25
84,42,2,122,21
18,63,2,24,21
34,58,1,180,34
1,38,2,182,35
2,48,2,61,38
4,52,1,164,12
6,41,1,5,14
9,35,1,110,28
10,38,2,38,24
11,49,2,177,28
20,38,2,40,21
21,37,1,161,31
22,45,1,71,42
39,49,1,27,21
43,41,1,77,3
45,28,2,192,21
51,36,1,80,30
53,50,1,184,21
62,42,1,60,38
65,27,1,126,24
72,27,2,17,20
74,20,2,73,17
83,31,1,86,0
89,44,1,130,14
94,41,1,12,20
96,34,1,95,10
98,50,1,201,47
100,56,1,85,15
101,35,2,152,3
102,38,1,30,10
108,35,2,176,21
109,55,2,56,19
119,49,2,157,17
125,48,2,111,34
129,30,0,141,14
131,66,1,79,0
132,34,1,171,10
133,43,1,179,13
134,17,1,48,3
135,48,1,206,14
137,13,2,145,10
138,42,2,54,25
153,38,1,59,35
166,35,1,14,0
169,40,2,31,3
174,38,1,143,10
175,30,1,99,7
178,42,1,114,24
183,35,1,159,20
185,20,0,173,17
187,36,1,194,24
188,34,1,91,31
190,23,1,87,21
195,44,1,70,19
196,59,1,139,21
198,40,2,90,37
202,45,2,68,33
15,20,2,78,14
157,17,1,40,14
4,42,1,51,21
9,49,1,26,45
11,52,1,125,14
12,21,1,187,14
20,34,1,85,9
21,40,1,88,10
23,41,1,190,33
24,36,1,116,7
30,41,1,19,7
34,31,0,95,24
38,21,1,65,12
43,47,1,183,13
45,70,1,117,41
55,23,1,36,17
56,56,1,165,16
59,66,1,182,0
60,28,2,152,6
62,27,2,192,24
66,47,1,111,14
70,42,1,176,35
71,31,2,102,27
73,24,2,138,20
77,24,1,31,10
87,34,2,54,3
89,48,2,3,17
90,34,2,169,20
93,36,1,98,17
97,73,1,48,14
99,24,1,150,7
101,34,2,83,29
109,41,1,94,31
113,38,2,114,35
119,42,1,140,0
122,77,1,115,3
127,24,1,200,7
128,30,2,84,27
130,36,1,68,24
132,45,2,198,33
134,45,2,143,42
135,38,2,196,31
136,28,1,149,7
137,48,1,91,7
141,35,1,162,13
145,31,2,108,24
153,48,2,188,34
164,21,1,8,20
170,59,1,42,0
174,58,2,163,6
180,34,1,17,23
186,26,2,96,10
194,24,1,14,21
195,45,1,61,14
202,45,1,107,14
204,68,1,22,17
206,20,1,53,19
60,34,1,8,14
133,45,1,177,35
185,62,2,10,27
56,35,2,113,24
98,41,2,134,28
2,28,1,20,14
3,21,2,138,10
15,45,1,84,17
18,49,2,74,28
22,47,2,91,42
24,35,1,95,27
26,59,1,38,56
36,50,1,117,35
39,24,2,21,21
53,41,1,179,37
54,34,2,6,20
55,56,2,119,41
59,35,1,171,32
73,24,2,141,10
78,58,1,178,28
80,17,1,188,7
83,63,1,114,7
86,22,1,182,20
87,20,1,194,10
90,37,2,71,15
94,22,1,43,10
97,56,1,206,14
99,30,2,96,14
100,24,1,93,3
102,21,2,153,20
109,45,1,70,14
110,21,2,150,10
127,29,2,137,6
129,31,0,169,15
130,34,1,46,19
131,50,1,34,28
143,41,2,164,23
145,31,1,183,6
149,34,1,111,17
152,34,2,68,10
161,35,1,136,10
166,20,2,195,13
170,36,2,40,10
173,23,2,77,0
174,35,0,11,28
175,56,2,163,0
176,37,2,184,34
180,42,1,31,28
190,45,1,79,13
192,35,1,202,17
196,28,2,186,27
201,36,2,108,27
204,27,1,157,10
207,49,1,14,43
9,31,2,135,24
30,17,2,66,12
54,38,1,53,10
56,24,1,149,13
87,28,2,169,6
187,35,2,23,20
2,30,1,108,21
3,31,1,48,6
6,42,2,201,39
10,38,2,161,34
12,28,1,86,14
14,33,1,17,24
15,41,1,83,7
18,28,2,173,7
20,51,2,110,46
22,36,1,24,35
26,60,2,196,59
31,28,1,130,10
36,41,1,119,0
39,42,1,184,17
45,45,1,163,24
51,10,2,171,9
55,43,1,194,3
59,44,1,188,17
60,36,2,114,28
62,28,1,94,17
71,49,1,122,24
78,45,1,177,13
