Team,Num
Abilene Christian,1
Air Force,2
Akron,3
Alabama,4
Alabama A&M,5
Alabama-Birmingham,6
Alcorn State,7
Appalachian State,8
Arizona,9
Arizona State,10
Arkansas,11
Arkansas State,12
Arkansas-Pine Bluff,13
Army,14
Auburn,15
Austin Peay,16
Ball State,17
Baylor,18
Bethune-Cookman,19
Boise State,20
Boston College,21
Bowling Green State,22
Brigham Young,23
Buffalo,24
Cal Poly,25
California,26
California-Davis,27
Campbell,28
Central Arkansas,29
Central Florida,30
Central Michigan,31
Charleston Southern,32
Chattanooga,33
Cincinnati,34
Citadel,35
Clemson,36
Colgate,37
Colorado,38
Colorado State,39
Connecticut,40
Delaware,41
Delaware State,42
Duke,43
Duquesne,44
East Carolina,45
Eastern Illinois,46
Eastern Kentucky,47
Eastern Michigan,48
Eastern Washington,49
Elon,50
Florida,51
Florida A&M,52
Florida Atlantic,53
Florida International,54
Florida State,55
Fresno State,56
Furman,57
Gardner-Webb,58
Georgia,59
Georgia Southern,60
Georgia State,61
Georgia Tech,62
Grambling State,63
Hampton,64
Hawaii,65
Houston,66
Howard,67
Idaho,68
Idaho State,69
Illinois,70
Indiana,71
Indiana State,72
Iowa,73
Iowa State,74
Jacksonville State,75
James Madison,76
Kansas,77
Kansas State,78
Kent State,79
Kentucky,80
Lamar,81
Liberty,82
Louisiana State,83
Louisiana Tech,84
Louisiana-Lafayette,85
Louisiana-Monroe,86
Louisville,87
Maine,88
Marshall,89
Maryland,90
Massachusetts,91
McNeese State,92
Memphis,93
Miami (FL),94
Miami (OH),95
Michigan,96
Michigan State,97
Middle Tennessee State,98
Minnesota,99
Mississippi,100
Mississippi State,101
Missouri,102
Missouri State,103
Montana,104
Montana State,105
Morgan State,106
Murray State,107
Navy,108
Nebraska,109
Nevada,110
Nevada-Las Vegas,111
New Hampshire,112
New Mexico,113
New Mexico State,114
Nicholls State,115
Norfolk State,116
North Carolina,117
North Carolina Central,118
North Carolina State,119
North Dakota,120
North Dakota State,121
North Texas,122
Northern Arizona,123
Northern Colorado,124
Northern Illinois,125
Northern Iowa,126
Northwestern,127
Northwestern State,128
Notre Dame,129
Ohio,130
Ohio State,131
Oklahoma,132
Oklahoma State,133
Old Dominion,134
Oregon,135
Oregon State,136
Penn State,137
Pittsburgh,138
Portland State,139
Presbyterian,140
Purdue,141
Rhode Island,142
Rice,143
Richmond,144
Rutgers,145
Sacramento State,146
Sam Houston State,147
Samford,148
San Diego State,149
San Jose State,150
Savannah State,151
South Alabama,152
South Carolina,153
South Carolina State,154
South Dakota,155
South Dakota State,156
South Florida,157
Southeast Missouri State,158
Southeastern Louisiana,159
Southern,160
Southern California,161
Southern Illinois,162
Southern Methodist,163
Southern Mississippi,164
Southern Utah,165
Stanford,166
Stephen F. Austin,167
Stony Brook,168
Syracuse,169
Temple,170
Tennessee,171
Tennessee-Martin,172
Texas,173
Texas A&M,174
Texas Christian,175
Texas State,176
Texas Tech,177
Texas-El Paso,178
Texas-San Antonio,179
Toledo,180
Towson,181
Troy,182
Tulane,183
Tulsa,184
UCLA,185
Utah,186
Utah State,187
Vanderbilt,188
Villanova,189
Virginia,190
Virginia Military Institute,191
Virginia Tech,192
Wagner,193
Wake Forest,194
Washington,195
Washington State,196
Weber State,197
West Virginia,198
Western Carolina,199
Western Illinois,200
Western Kentucky,201
Western Michigan,202
William & Mary,203
Wisconsin,204
Wofford,205
Wyoming,206
Yale,207
Youngstown State,208
